"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","12079","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:26 GMT 2025","passed","Mon Jul 28 15:24:38 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","11599","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Jul 28 15:28:17 GMT 2025","broken","Mon Jul 28 15:28:28 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","12019","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:51 GMT 2025","passed","Mon Jul 28 15:25:03 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11592","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Jul 28 15:29:31 GMT 2025","broken","Mon Jul 28 15:29:43 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","12059","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:25:03 GMT 2025","passed","Mon Jul 28 15:25:15 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","11594","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Jul 28 15:26:40 GMT 2025","broken","Mon Jul 28 15:26:52 GMT 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","12245","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:39 GMT 2025","passed","Mon Jul 28 15:24:51 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","12142","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:20 GMT 2025","passed","Mon Jul 28 15:24:32 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","12024","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:24 GMT 2025","passed","Mon Jul 28 15:24:36 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","12147","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:57 GMT 2025","passed","Mon Jul 28 15:25:09 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","11538","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Jul 28 15:25:55 GMT 2025","broken","Mon Jul 28 15:26:07 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Creating a new order with valid data and verifying the order is successful.","11846","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Jul 28 15:27:02 GMT 2025","broken","Mon Jul 28 15:27:14 GMT 2025","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11622","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Jul 28 15:29:21 GMT 2025","broken","Mon Jul 28 15:29:33 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11677","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Jul 28 15:28:54 GMT 2025","broken","Mon Jul 28 15:29:06 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Creating a new account with valid data","11412","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Jul 28 15:28:11 GMT 2025","broken","Mon Jul 28 15:28:23 GMT 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","12046","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:25:10 GMT 2025","passed","Mon Jul 28 15:25:22 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","11618","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Jul 28 15:26:17 GMT 2025","broken","Mon Jul 28 15:26:28 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new account with valid data","11580","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Jul 28 15:27:31 GMT 2025","broken","Mon Jul 28 15:27:42 GMT 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","12615","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:08 GMT 2025","passed","Mon Jul 28 15:24:21 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11359","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Jul 28 15:29:40 GMT 2025","broken","Mon Jul 28 15:29:51 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","12060","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:25:10 GMT 2025","passed","Mon Jul 28 15:25:22 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","11704","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Jul 28 15:26:54 GMT 2025","broken","Mon Jul 28 15:27:05 GMT 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Verify that the tires table is filled correctly and the tires list is opened.","11602","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Jul 28 15:28:08 GMT 2025","broken","Mon Jul 28 15:28:19 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Verify that a user can successfully log in to the application using valid credentials.","11608","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Jul 28 15:25:40 GMT 2025","broken","Mon Jul 28 15:25:52 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Negative login check","11724","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:32 GMT 2025","passed","Mon Jul 28 15:24:44 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","12103","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:54 GMT 2025","passed","Mon Jul 28 15:25:07 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11511","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Jul 28 15:30:23 GMT 2025","broken","Mon Jul 28 15:30:34 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that a user can successfully log in to the application using valid credentials.","11690","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Jul 28 15:25:47 GMT 2025","broken","Mon Jul 28 15:25:59 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Creating a new account with valid data","11690","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Jul 28 15:27:39 GMT 2025","broken","Mon Jul 28 15:27:51 GMT 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Verify that the tires table is filled correctly and the tires list is opened.","11573","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Jul 28 15:28:56 GMT 2025","broken","Mon Jul 28 15:29:07 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new order with valid data and verifying the order is successful.","12023","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Jul 28 15:27:25 GMT 2025","broken","Mon Jul 28 15:27:37 GMT 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Negative login check","11958","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:39 GMT 2025","passed","Mon Jul 28 15:24:51 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","11589","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Jul 28 15:26:24 GMT 2025","broken","Mon Jul 28 15:26:36 GMT 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11581","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Jul 28 15:28:44 GMT 2025","broken","Mon Jul 28 15:28:56 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","11824","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:13 GMT 2025","passed","Mon Jul 28 15:24:25 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","12105","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 28 15:24:44 GMT 2025","passed","Mon Jul 28 15:24:57 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
