"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","12212","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 23 15:22:38 GMT 2025","passed","Mon Jun 23 15:22:50 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","11710","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Jun 23 15:24:20 GMT 2025","broken","Mon Jun 23 15:24:32 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11614","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Jun 23 15:27:44 GMT 2025","broken","Mon Jun 23 15:27:55 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11613","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Jun 23 15:28:24 GMT 2025","broken","Mon Jun 23 15:28:35 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11510","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Jun 23 15:28:58 GMT 2025","broken","Mon Jun 23 15:29:10 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","12096","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 23 15:22:54 GMT 2025","passed","Mon Jun 23 15:23:06 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11595","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Jun 23 15:27:00 GMT 2025","broken","Mon Jun 23 15:27:12 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Deleting all tires from cart.","11542","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Jun 23 15:24:32 GMT 2025","broken","Mon Jun 23 15:24:44 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new order with valid data and verifying the order is successful.","11920","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Jun 23 15:25:09 GMT 2025","broken","Mon Jun 23 15:25:21 GMT 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Verify that the tires table is filled correctly and the tires list is opened.","11380","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Jun 23 15:27:29 GMT 2025","broken","Mon Jun 23 15:27:41 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
