"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deleting all tires from cart.","13591","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Feb 10 17:11:22 GMT 2025","passed","Mon Feb 10 17:11:36 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","12821","Check that user cannot login with invalid data","Tires CrossBrowserTest","Mon Feb 10 17:11:21 GMT 2025","passed","Mon Feb 10 17:11:33 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","16041","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Feb 10 17:11:45 GMT 2025","passed","Mon Feb 10 17:12:01 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","23362","Check that user cannot login with invalid data","Tires CrossBrowserTest","Mon Feb 10 17:10:13 GMT 2025","passed","Mon Feb 10 17:10:37 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","12684","Check that user cannot login with invalid data","Tires CrossBrowserTest","Mon Feb 10 17:11:06 GMT 2025","passed","Mon Feb 10 17:11:19 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","12491","Check that user cannot login with invalid data","Tires CrossBrowserTest","Mon Feb 10 17:10:53 GMT 2025","passed","Mon Feb 10 17:11:05 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","12496","Check that user cannot login with invalid data","Tires CrossBrowserTest","Mon Feb 10 17:10:40 GMT 2025","passed","Mon Feb 10 17:10:52 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","4029","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Feb 10 17:11:40 GMT 2025","passed","Mon Feb 10 17:11:44 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","12705","Check that user cannot login with invalid data","Tires CrossBrowserTest","Mon Feb 10 17:10:52 GMT 2025","passed","Mon Feb 10 17:11:04 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","23578","Check that user cannot login with invalid data","Tires CrossBrowserTest","Mon Feb 10 17:10:23 GMT 2025","passed","Mon Feb 10 17:10:46 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","4854","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Feb 10 17:10:19 GMT 2025","passed","Mon Feb 10 17:10:24 GMT 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Verify that a user can successfully log in to the application using valid credentials.","2741","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Feb 10 17:11:35 GMT 2025","passed","Mon Feb 10 17:11:38 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Negative login check","2305","Check that user cannot login with invalid data","Tires CrossBrowserTest","Mon Feb 10 17:10:48 GMT 2025","passed","Mon Feb 10 17:10:50 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","3517","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Feb 10 17:11:36 GMT 2025","passed","Mon Feb 10 17:11:40 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","2125","Check that user cannot login with invalid data","Tires CrossBrowserTest","Mon Feb 10 17:10:37 GMT 2025","passed","Mon Feb 10 17:10:39 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","2598","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Feb 10 17:11:19 GMT 2025","passed","Mon Feb 10 17:11:22 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Negative login check","12811","Check that user cannot login with invalid data","Tires CrossBrowserTest","Mon Feb 10 17:11:06 GMT 2025","passed","Mon Feb 10 17:11:19 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
