"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","11111","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 05 15:21:33 GMT 2025","passed","Mon May 05 15:21:44 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","11231","Deleting all tires from cart.","Tires CrossBrowserTest","Mon May 05 15:22:51 GMT 2025","broken","Mon May 05 15:23:02 GMT 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11077","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon May 05 15:26:04 GMT 2025","broken","Mon May 05 15:26:15 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","14120","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 05 15:21:01 GMT 2025","passed","Mon May 05 15:21:15 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","11050","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon May 05 15:22:27 GMT 2025","broken","Mon May 05 15:22:38 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Deleting all tires from cart.","11020","Deleting all tires from cart.","Tires CrossBrowserTest","Mon May 05 15:23:22 GMT 2025","broken","Mon May 05 15:23:33 GMT 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new account with valid data","11024","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon May 05 15:24:13 GMT 2025","broken","Mon May 05 15:24:24 GMT 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11041","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon May 05 15:25:24 GMT 2025","broken","Mon May 05 15:25:35 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11059","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon May 05 15:25:59 GMT 2025","broken","Mon May 05 15:26:10 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that the tires table is filled correctly and the tires list is opened.","11100","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon May 05 15:25:31 GMT 2025","broken","Mon May 05 15:25:42 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","12266","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 05 15:20:40 GMT 2025","passed","Mon May 05 15:20:53 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","11118","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon May 05 15:23:38 GMT 2025","broken","Mon May 05 15:23:49 GMT 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Negative login check","11218","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 05 15:21:08 GMT 2025","passed","Mon May 05 15:21:19 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","11511","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 05 15:21:51 GMT 2025","passed","Mon May 05 15:22:03 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11005","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon May 05 15:26:13 GMT 2025","broken","Mon May 05 15:26:24 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","11559","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 05 15:21:13 GMT 2025","passed","Mon May 05 15:21:24 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","11618","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 05 15:21:42 GMT 2025","passed","Mon May 05 15:21:54 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
