"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the tires table is filled correctly and the tires list is opened.","175","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Feb 02 15:38:36 UTC 2026","broken","Mon Feb 02 15:38:36 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new order with valid data and verifying the order is successful.","235","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:31 UTC 2026","broken","Mon Feb 02 15:38:31 UTC 2026","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Creating a new order with valid data and verifying the order is successful.","113","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:06 UTC 2026","broken","Mon Feb 02 15:38:07 UTC 2026","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Verify that the tires table is filled correctly and the tires list is opened.","298","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Feb 02 15:38:11 UTC 2026","broken","Mon Feb 02 15:38:11 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","164","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:37:56 UTC 2026","broken","Mon Feb 02 15:37:57 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","338","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:12 UTC 2026","broken","Mon Feb 02 15:38:13 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","220","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Feb 02 15:39:58 UTC 2026","broken","Mon Feb 02 15:39:58 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","410","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Feb 02 15:38:13 UTC 2026","broken","Mon Feb 02 15:38:14 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Creating a new account with valid data","133","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Feb 02 15:38:34 UTC 2026","broken","Mon Feb 02 15:38:34 UTC 2026","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","230","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Feb 02 15:38:17 UTC 2026","broken","Mon Feb 02 15:38:17 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","131","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:37:58 UTC 2026","broken","Mon Feb 02 15:37:58 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","109","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:00 UTC 2026","broken","Mon Feb 02 15:38:00 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","180","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Feb 02 15:38:41 UTC 2026","broken","Mon Feb 02 15:38:41 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","276","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:23 UTC 2026","broken","Mon Feb 02 15:38:24 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","141","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Feb 02 15:38:26 UTC 2026","broken","Mon Feb 02 15:38:26 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Creating a new account with valid data","201","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Feb 02 15:38:08 UTC 2026","broken","Mon Feb 02 15:38:09 UTC 2026","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Verify that a user can successfully log in to the application using valid credentials.","149","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Feb 02 15:38:03 UTC 2026","broken","Mon Feb 02 15:38:03 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Deleting all tires from cart.","147","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Feb 02 15:39:16 UTC 2026","broken","Mon Feb 02 15:39:16 UTC 2026","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Deleting all tires from cart.","138","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Feb 02 15:38:05 UTC 2026","broken","Mon Feb 02 15:38:05 UTC 2026","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","154","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:37:55 UTC 2026","broken","Mon Feb 02 15:37:55 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","164","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Feb 02 15:39:49 UTC 2026","broken","Mon Feb 02 15:39:49 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","171","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:59 UTC 2026","broken","Mon Feb 02 15:38:59 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","194","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Feb 02 15:39:41 UTC 2026","broken","Mon Feb 02 15:39:41 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","346","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:16 UTC 2026","broken","Mon Feb 02 15:38:17 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","155","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:42 UTC 2026","broken","Mon Feb 02 15:38:42 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","187","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Feb 02 15:39:24 UTC 2026","broken","Mon Feb 02 15:39:24 UTC 2026","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Negative login check","148","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:01 UTC 2026","broken","Mon Feb 02 15:38:01 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","138","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:19 UTC 2026","broken","Mon Feb 02 15:38:19 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","223","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:16 UTC 2026","broken","Mon Feb 02 15:38:17 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","140","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:21 UTC 2026","broken","Mon Feb 02 15:38:22 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","219","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 02 15:38:50 UTC 2026","broken","Mon Feb 02 15:38:50 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","167","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Feb 02 15:39:07 UTC 2026","broken","Mon Feb 02 15:39:07 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Deleting all tires from cart.","332","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Feb 02 15:38:29 UTC 2026","broken","Mon Feb 02 15:38:29 UTC 2026","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","122","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Feb 02 15:38:39 UTC 2026","broken","Mon Feb 02 15:38:39 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
