"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the tires table is filled correctly and the tires list is opened.","288","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Jan 19 15:27:49 UTC 2026","broken","Mon Jan 19 15:27:49 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","208","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 19 15:28:07 UTC 2026","broken","Mon Jan 19 15:28:07 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","161","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 19 15:27:56 UTC 2026","broken","Mon Jan 19 15:27:56 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","167","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 19 15:27:59 UTC 2026","broken","Mon Jan 19 15:27:59 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","257","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 19 15:27:53 UTC 2026","broken","Mon Jan 19 15:27:53 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","142","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 19 15:28:01 UTC 2026","broken","Mon Jan 19 15:28:01 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","281","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Jan 19 15:27:55 UTC 2026","broken","Mon Jan 19 15:27:55 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","246","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Jan 19 15:28:16 UTC 2026","broken","Mon Jan 19 15:28:16 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","168","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 19 15:28:20 UTC 2026","broken","Mon Jan 19 15:28:20 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","193","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Jan 19 15:28:57 UTC 2026","broken","Mon Jan 19 15:28:57 UTC 2026","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
