"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","194","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 30 16:06:33 UTC 2026","broken","Mon Mar 30 16:06:33 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","410","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Mar 30 16:06:44 UTC 2026","broken","Mon Mar 30 16:06:45 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Negative login check","303","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 30 16:06:36 UTC 2026","broken","Mon Mar 30 16:06:37 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","138","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Mar 30 16:07:04 UTC 2026","broken","Mon Mar 30 16:07:05 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","193","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 30 16:06:26 UTC 2026","broken","Mon Mar 30 16:06:26 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","139","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Mar 30 16:07:37 UTC 2026","broken","Mon Mar 30 16:07:37 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","292","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Mar 30 16:06:53 UTC 2026","broken","Mon Mar 30 16:06:53 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new account with valid data","446","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Mar 30 16:06:55 UTC 2026","broken","Mon Mar 30 16:06:55 UTC 2026","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","257","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 30 16:06:36 UTC 2026","broken","Mon Mar 30 16:06:36 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","117","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Mar 30 16:07:47 UTC 2026","broken","Mon Mar 30 16:07:47 UTC 2026","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
