"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","178","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:50:04 UTC 2026","broken","Mon Apr 06 15:50:04 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","182","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Apr 06 15:51:23 UTC 2026","broken","Mon Apr 06 15:51:23 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","270","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:49:34 UTC 2026","broken","Mon Apr 06 15:49:35 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","232","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:49:26 UTC 2026","broken","Mon Apr 06 15:49:27 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","422","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Apr 06 15:49:50 UTC 2026","broken","Mon Apr 06 15:49:50 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Deleting all tires from cart.","106","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Apr 06 15:50:44 UTC 2026","broken","Mon Apr 06 15:50:44 UTC 2026","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","193","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:49:27 UTC 2026","broken","Mon Apr 06 15:49:27 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","490","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Apr 06 15:49:33 UTC 2026","broken","Mon Apr 06 15:49:33 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Negative login check","353","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:49:17 UTC 2026","broken","Mon Apr 06 15:49:17 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","535","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Apr 06 15:49:50 UTC 2026","broken","Mon Apr 06 15:49:50 UTC 2026","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Verify that the tires table is filled correctly and the tires list is opened.","449","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Apr 06 15:49:53 UTC 2026","broken","Mon Apr 06 15:49:54 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","178","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:50:24 UTC 2026","broken","Mon Apr 06 15:50:24 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","276","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Apr 06 15:49:36 UTC 2026","broken","Mon Apr 06 15:49:37 UTC 2026","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","169","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:49:23 UTC 2026","broken","Mon Apr 06 15:49:23 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","571","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Apr 06 15:49:42 UTC 2026","broken","Mon Apr 06 15:49:42 UTC 2026","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","325","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:49:50 UTC 2026","broken","Mon Apr 06 15:49:51 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","148","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Apr 06 15:51:03 UTC 2026","broken","Mon Apr 06 15:51:03 UTC 2026","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","213","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:49:23 UTC 2026","broken","Mon Apr 06 15:49:24 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","417","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Apr 06 15:49:43 UTC 2026","broken","Mon Apr 06 15:49:44 UTC 2026","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","512","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:49:19 UTC 2026","broken","Mon Apr 06 15:49:20 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","336","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:49:31 UTC 2026","broken","Mon Apr 06 15:49:31 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","104","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:50:14 UTC 2026","broken","Mon Apr 06 15:50:14 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","137","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Apr 06 15:51:32 UTC 2026","broken","Mon Apr 06 15:51:33 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that a user can successfully log in to the application using valid credentials.","131","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Apr 06 15:50:34 UTC 2026","broken","Mon Apr 06 15:50:34 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","144","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Apr 06 15:49:57 UTC 2026","broken","Mon Apr 06 15:49:57 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","163","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Apr 06 15:49:59 UTC 2026","broken","Mon Apr 06 15:49:59 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that the tires table is filled correctly and the tires list is opened.","241","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Apr 06 15:49:46 UTC 2026","broken","Mon Apr 06 15:49:47 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","339","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 06 15:49:30 UTC 2026","broken","Mon Apr 06 15:49:30 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","362","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Apr 06 15:49:46 UTC 2026","broken","Mon Apr 06 15:49:46 UTC 2026","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
