"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creating a new account with valid data","247","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Nov 24 15:24:48 UTC 2025","broken","Mon Nov 24 15:24:48 UTC 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","159","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Nov 24 15:24:57 UTC 2025","broken","Mon Nov 24 15:24:57 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","143","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Nov 24 15:26:18 UTC 2025","broken","Mon Nov 24 15:26:19 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","144","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Nov 24 15:26:27 UTC 2025","broken","Mon Nov 24 15:26:27 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that the tires table is filled correctly and the tires list is opened.","187","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Nov 24 15:24:50 UTC 2025","broken","Mon Nov 24 15:24:50 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new account with valid data","163","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Nov 24 15:26:02 UTC 2025","broken","Mon Nov 24 15:26:02 UTC 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Creating a new account with valid data","223","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Nov 24 15:25:17 UTC 2025","broken","Mon Nov 24 15:25:17 UTC 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Deleting all tires from cart.","195","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Nov 24 15:25:12 UTC 2025","broken","Mon Nov 24 15:25:12 UTC 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that a user can successfully log in to the application using valid credentials.","191","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Nov 24 15:24:42 UTC 2025","broken","Mon Nov 24 15:24:42 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Creating a new order with valid data and verifying the order is successful.","155","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Nov 24 15:25:54 UTC 2025","broken","Mon Nov 24 15:25:54 UTC 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Verify that the tires table is filled correctly and the tires list is opened.","130","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Nov 24 15:26:10 UTC 2025","broken","Mon Nov 24 15:26:10 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","246","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Nov 24 15:24:52 UTC 2025","broken","Mon Nov 24 15:24:53 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that the tires table is filled correctly and the tires list is opened.","170","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Nov 24 15:25:19 UTC 2025","broken","Mon Nov 24 15:25:19 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","270","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Nov 24 15:25:05 UTC 2025","broken","Mon Nov 24 15:25:06 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
