"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creating a new account with valid data","391","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Feb 23 15:48:28 UTC 2026","broken","Mon Feb 23 15:48:28 UTC 2026","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","221","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 23 15:48:20 UTC 2026","broken","Mon Feb 23 15:48:21 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","150","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Feb 23 15:47:26 UTC 2026","broken","Mon Feb 23 15:47:26 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","142","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 23 15:47:11 UTC 2026","broken","Mon Feb 23 15:47:11 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","189","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Feb 23 15:49:20 UTC 2026","broken","Mon Feb 23 15:49:20 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","158","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 23 15:48:11 UTC 2026","broken","Mon Feb 23 15:48:11 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","171","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Feb 23 15:48:44 UTC 2026","broken","Mon Feb 23 15:48:44 UTC 2026","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new order with valid data and verifying the order is successful.","228","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Feb 23 15:48:53 UTC 2026","broken","Mon Feb 23 15:48:53 UTC 2026","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Negative login check","147","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 23 15:47:08 UTC 2026","broken","Mon Feb 23 15:47:08 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","146","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Feb 23 15:47:16 UTC 2026","broken","Mon Feb 23 15:47:16 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","181","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Feb 23 15:49:11 UTC 2026","broken","Mon Feb 23 15:49:11 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new account with valid data","144","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Feb 23 15:47:21 UTC 2026","broken","Mon Feb 23 15:47:21 UTC 2026","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Verify that the tires table is filled correctly and the tires list is opened.","148","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Feb 23 15:47:22 UTC 2026","broken","Mon Feb 23 15:47:22 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","202","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Feb 23 15:48:07 UTC 2026","broken","Mon Feb 23 15:48:08 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
