"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","23480","Check that user cannot login with invalid data","Tires CrossBrowserTest","Fri Feb 07 11:40:43 GMT 2025","passed","Fri Feb 07 11:41:06 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","23714","Check that user cannot login with invalid data","Tires CrossBrowserTest","Fri Feb 07 11:40:26 GMT 2025","passed","Fri Feb 07 11:40:50 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","12501","Check that user cannot login with invalid data","Tires CrossBrowserTest","Fri Feb 07 11:41:06 GMT 2025","passed","Fri Feb 07 11:41:19 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","1964","Check that user cannot login with invalid data","Tires CrossBrowserTest","Fri Feb 07 11:41:08 GMT 2025","passed","Fri Feb 07 11:41:10 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","4119","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Fri Feb 07 11:41:52 GMT 2025","passed","Fri Feb 07 11:41:56 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","12368","Check that user cannot login with invalid data","Tires CrossBrowserTest","Fri Feb 07 11:41:40 GMT 2025","passed","Fri Feb 07 11:41:52 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","12287","Check that user cannot login with invalid data","Tires CrossBrowserTest","Fri Feb 07 11:41:12 GMT 2025","passed","Fri Feb 07 11:41:24 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","2755","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Fri Feb 07 11:41:54 GMT 2025","passed","Fri Feb 07 11:41:57 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Creating a new account with valid data","3899","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Fri Feb 07 11:40:33 GMT 2025","passed","Fri Feb 07 11:40:37 GMT 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","11780","Check that user cannot login with invalid data","Tires CrossBrowserTest","Fri Feb 07 11:41:19 GMT 2025","passed","Fri Feb 07 11:41:31 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","1735","Check that user cannot login with invalid data","Tires CrossBrowserTest","Fri Feb 07 11:40:51 GMT 2025","passed","Fri Feb 07 11:40:52 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","13253","Deleting all tires from cart.","Tires CrossBrowserTest","Fri Feb 07 11:41:34 GMT 2025","passed","Fri Feb 07 11:41:48 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that a user can successfully log in to the application using valid credentials.","2080","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Fri Feb 07 11:41:32 GMT 2025","passed","Fri Feb 07 11:41:34 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Negative login check","12012","Check that user cannot login with invalid data","Tires CrossBrowserTest","Fri Feb 07 11:41:26 GMT 2025","passed","Fri Feb 07 11:41:38 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","15845","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Fri Feb 07 11:41:57 GMT 2025","passed","Fri Feb 07 11:42:13 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","12338","Check that user cannot login with invalid data","Tires CrossBrowserTest","Fri Feb 07 11:40:53 GMT 2025","passed","Fri Feb 07 11:41:05 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","3193","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Fri Feb 07 11:41:48 GMT 2025","passed","Fri Feb 07 11:41:51 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
