"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","175","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 25 15:22:20 UTC 2025","broken","Mon Aug 25 15:22:20 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","237","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Aug 25 15:22:53 UTC 2025","broken","Mon Aug 25 15:22:53 UTC 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","239","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Aug 25 15:22:15 UTC 2025","broken","Mon Aug 25 15:22:15 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Deleting all tires from cart.","202","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Aug 25 15:22:44 UTC 2025","broken","Mon Aug 25 15:22:45 UTC 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","262","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 25 15:21:56 UTC 2025","broken","Mon Aug 25 15:21:56 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","171","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Aug 25 15:21:41 UTC 2025","broken","Mon Aug 25 15:21:42 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","151","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 25 15:21:32 UTC 2025","broken","Mon Aug 25 15:21:32 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","141","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Aug 25 15:22:05 UTC 2025","broken","Mon Aug 25 15:22:06 UTC 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that the tires table is filled correctly and the tires list is opened.","274","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Aug 25 15:22:13 UTC 2025","broken","Mon Aug 25 15:22:13 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new account with valid data","246","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Aug 25 15:22:10 UTC 2025","broken","Mon Aug 25 15:22:10 UTC 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Creating a new order with valid data and verifying the order is successful.","138","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Aug 25 15:22:08 UTC 2025","broken","Mon Aug 25 15:22:08 UTC 2025","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Negative login check","244","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 25 15:21:50 UTC 2025","broken","Mon Aug 25 15:21:50 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","263","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 25 15:22:28 UTC 2025","broken","Mon Aug 25 15:22:28 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","115","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 25 15:21:27 UTC 2025","broken","Mon Aug 25 15:21:27 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","264","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Aug 25 15:22:03 UTC 2025","broken","Mon Aug 25 15:22:03 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
