"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creating a new account with valid data","11289","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Jul 14 15:26:23 GMT 2025","broken","Mon Jul 14 15:26:35 GMT 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","11714","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 14 15:24:06 GMT 2025","passed","Mon Jul 14 15:24:18 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","11487","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 14 15:23:34 GMT 2025","passed","Mon Jul 14 15:23:46 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","11572","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 14 15:23:20 GMT 2025","passed","Mon Jul 14 15:23:31 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","11766","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 14 15:23:09 GMT 2025","passed","Mon Jul 14 15:23:21 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11259","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Jul 14 15:27:54 GMT 2025","broken","Mon Jul 14 15:28:06 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","11729","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 14 15:23:36 GMT 2025","passed","Mon Jul 14 15:23:48 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","11426","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Jul 14 15:25:31 GMT 2025","broken","Mon Jul 14 15:25:43 GMT 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Negative login check","12101","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jul 14 15:23:03 GMT 2025","passed","Mon Jul 14 15:23:15 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","11064","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Jul 14 15:27:45 GMT 2025","broken","Mon Jul 14 15:27:56 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
