"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a user can successfully log in to the application using valid credentials.","12564","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Thu Feb 20 14:15:36 GMT 2025","passed","Thu Feb 20 14:15:48 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","11409","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Thu Feb 20 14:18:16 GMT 2025","broken","Thu Feb 20 14:18:27 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","23126","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Thu Feb 20 14:14:33 GMT 2025","passed","Thu Feb 20 14:14:56 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","12166","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Thu Feb 20 14:14:38 GMT 2025","passed","Thu Feb 20 14:14:50 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","12466","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Thu Feb 20 14:15:30 GMT 2025","passed","Thu Feb 20 14:15:42 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11438","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Thu Feb 20 14:19:36 GMT 2025","broken","Thu Feb 20 14:19:47 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Creating a new account with valid data","3673","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Thu Feb 20 14:18:28 GMT 2025","passed","Thu Feb 20 14:18:31 GMT 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","12425","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Thu Feb 20 14:14:51 GMT 2025","passed","Thu Feb 20 14:15:03 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","11692","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Thu Feb 20 14:15:21 GMT 2025","passed","Thu Feb 20 14:15:33 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","22229","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Thu Feb 20 14:19:51 GMT 2025","broken","Thu Feb 20 14:20:13 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","11854","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Thu Feb 20 14:14:52 GMT 2025","passed","Thu Feb 20 14:15:04 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11381","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Thu Feb 20 14:18:53 GMT 2025","broken","Thu Feb 20 14:19:04 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","1861","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Thu Feb 20 14:14:36 GMT 2025","passed","Thu Feb 20 14:14:37 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","1711","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Thu Feb 20 14:14:47 GMT 2025","passed","Thu Feb 20 14:14:49 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","21912","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Thu Feb 20 14:14:22 GMT 2025","passed","Thu Feb 20 14:14:44 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","23039","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Thu Feb 20 14:18:01 GMT 2025","broken","Thu Feb 20 14:18:24 GMT 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Verify that a user can successfully log in to the application using valid credentials.","12621","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Thu Feb 20 14:15:16 GMT 2025","passed","Thu Feb 20 14:15:29 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Creating a new order with valid data and verifying the order is successful.","22504","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Thu Feb 20 14:17:26 GMT 2025","broken","Thu Feb 20 14:17:48 GMT 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Verify that the tires table is filled correctly and the tires list is opened.","11408","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Thu Feb 20 14:18:56 GMT 2025","broken","Thu Feb 20 14:19:08 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new account with valid data","2734","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Thu Feb 20 14:17:49 GMT 2025","passed","Thu Feb 20 14:17:52 GMT 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
