"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","12184","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 10 15:21:23 GMT 2025","passed","Mon Mar 10 15:21:35 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","3030","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Mar 10 15:23:33 GMT 2025","passed","Mon Mar 10 15:23:36 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","1633","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 10 15:20:56 GMT 2025","passed","Mon Mar 10 15:20:58 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","13165","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Mar 10 15:21:49 GMT 2025","passed","Mon Mar 10 15:22:02 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that the tires table is filled correctly and the tires list is opened.","3092","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Mar 10 15:23:03 GMT 2025","passed","Mon Mar 10 15:23:06 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","16659","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Mar 10 15:23:11 GMT 2025","passed","Mon Mar 10 15:23:27 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","14863","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Mar 10 15:23:45 GMT 2025","passed","Mon Mar 10 15:24:00 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","12294","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 10 15:20:58 GMT 2025","passed","Mon Mar 10 15:21:10 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","12691","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Mar 10 15:21:36 GMT 2025","passed","Mon Mar 10 15:21:49 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","2849","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Mar 10 15:23:39 GMT 2025","passed","Mon Mar 10 15:23:41 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","12197","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 10 15:21:09 GMT 2025","passed","Mon Mar 10 15:21:21 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","11991","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 10 15:21:23 GMT 2025","passed","Mon Mar 10 15:21:35 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","3204","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Mar 10 15:23:32 GMT 2025","passed","Mon Mar 10 15:23:35 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Verify that a user can successfully log in to the application using valid credentials.","12891","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Mar 10 15:21:51 GMT 2025","passed","Mon Mar 10 15:22:03 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Negative login check","11429","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 10 15:21:20 GMT 2025","passed","Mon Mar 10 15:21:31 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","11567","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 10 15:21:34 GMT 2025","passed","Mon Mar 10 15:21:46 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","12023","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 10 15:21:11 GMT 2025","passed","Mon Mar 10 15:21:23 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","12823","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Mar 10 15:22:05 GMT 2025","passed","Mon Mar 10 15:22:18 GMT 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","1546","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 10 15:21:01 GMT 2025","passed","Mon Mar 10 15:21:02 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","17976","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Mar 10 15:22:41 GMT 2025","broken","Mon Mar 10 15:22:59 GMT 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","16744","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Mar 10 15:23:43 GMT 2025","passed","Mon Mar 10 15:24:00 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","3500","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Mar 10 15:23:07 GMT 2025","passed","Mon Mar 10 15:23:10 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","3922","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Mar 10 15:23:38 GMT 2025","passed","Mon Mar 10 15:23:42 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Creating a new account with valid data","2890","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Mar 10 15:23:28 GMT 2025","passed","Mon Mar 10 15:23:31 GMT 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Creating a new account with valid data","3198","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Mar 10 15:23:26 GMT 2025","passed","Mon Mar 10 15:23:29 GMT 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","12137","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 10 15:21:37 GMT 2025","passed","Mon Mar 10 15:21:49 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
