"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creating a new account with valid data","248","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Dec 29 15:24:39 UTC 2025","broken","Mon Dec 29 15:24:39 UTC 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","143","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 29 15:24:06 UTC 2025","broken","Mon Dec 29 15:24:06 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","379","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 29 15:24:18 UTC 2025","broken","Mon Dec 29 15:24:18 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","178","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Dec 29 15:25:18 UTC 2025","broken","Mon Dec 29 15:25:18 UTC 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","432","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 29 15:24:13 UTC 2025","broken","Mon Dec 29 15:24:14 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","204","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 29 15:24:04 UTC 2025","broken","Mon Dec 29 15:24:04 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","157","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Dec 29 15:25:52 UTC 2025","broken","Mon Dec 29 15:25:52 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","239","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 29 15:24:31 UTC 2025","broken","Mon Dec 29 15:24:31 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","169","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 29 15:24:53 UTC 2025","broken","Mon Dec 29 15:24:53 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","155","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Dec 29 15:25:10 UTC 2025","broken","Mon Dec 29 15:25:10 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
