"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","135","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Dec 22 15:25:38 UTC 2025","broken","Mon Dec 22 15:25:38 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","175","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Dec 22 15:24:01 UTC 2025","broken","Mon Dec 22 15:24:01 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Creating a new account with valid data","143","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Dec 22 15:24:45 UTC 2025","broken","Mon Dec 22 15:24:45 UTC 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","163","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 22 15:24:28 UTC 2025","broken","Mon Dec 22 15:24:28 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","148","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Dec 22 15:24:52 UTC 2025","broken","Mon Dec 22 15:24:52 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","175","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 22 15:24:25 UTC 2025","broken","Mon Dec 22 15:24:26 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","164","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 22 15:24:09 UTC 2025","broken","Mon Dec 22 15:24:10 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","138","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 22 15:23:49 UTC 2025","broken","Mon Dec 22 15:23:49 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","300","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 22 15:23:37 UTC 2025","broken","Mon Dec 22 15:23:37 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","236","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 22 15:24:28 UTC 2025","broken","Mon Dec 22 15:24:29 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","179","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Dec 22 15:23:51 UTC 2025","broken","Mon Dec 22 15:23:51 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Creating a new account with valid data","145","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Dec 22 15:25:20 UTC 2025","broken","Mon Dec 22 15:25:20 UTC 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Verify that the tires table is filled correctly and the tires list is opened.","147","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Dec 22 15:25:29 UTC 2025","broken","Mon Dec 22 15:25:29 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","162","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Dec 22 15:25:47 UTC 2025","broken","Mon Dec 22 15:25:47 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that the tires table is filled correctly and the tires list is opened.","141","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Dec 22 15:24:47 UTC 2025","broken","Mon Dec 22 15:24:47 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","141","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 22 15:23:42 UTC 2025","broken","Mon Dec 22 15:23:42 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","284","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 22 15:24:41 UTC 2025","broken","Mon Dec 22 15:24:41 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","126","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Dec 22 15:23:57 UTC 2025","broken","Mon Dec 22 15:23:57 UTC 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Deleting all tires from cart.","190","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Dec 22 15:24:40 UTC 2025","broken","Mon Dec 22 15:24:40 UTC 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new order with valid data and verifying the order is successful.","257","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Dec 22 15:25:11 UTC 2025","broken","Mon Dec 22 15:25:11 UTC 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Negative login check","152","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 22 15:23:40 UTC 2025","broken","Mon Dec 22 15:23:41 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","112","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 22 15:24:33 UTC 2025","broken","Mon Dec 22 15:24:33 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","242","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Dec 22 15:24:42 UTC 2025","broken","Mon Dec 22 15:24:42 UTC 2025","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Verify that the tires table is filled correctly and the tires list is opened.","207","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Dec 22 15:23:59 UTC 2025","broken","Mon Dec 22 15:23:59 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","126","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Dec 22 15:24:30 UTC 2025","broken","Mon Dec 22 15:24:30 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
