"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","146","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 26 15:30:44 UTC 2026","broken","Mon Jan 26 15:30:44 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","210","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Jan 26 15:31:29 UTC 2026","broken","Mon Jan 26 15:31:29 UTC 2026","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Creating a new order with valid data and verifying the order is successful.","113","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Jan 26 15:31:26 UTC 2026","broken","Mon Jan 26 15:31:26 UTC 2026","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Verify that the tires table is filled correctly and the tires list is opened.","177","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Jan 26 15:30:57 UTC 2026","broken","Mon Jan 26 15:30:58 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","354","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 26 15:31:16 UTC 2026","broken","Mon Jan 26 15:31:16 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","135","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 26 15:30:46 UTC 2026","broken","Mon Jan 26 15:30:46 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","161","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Jan 26 15:31:36 UTC 2026","broken","Mon Jan 26 15:31:36 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","262","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 26 15:31:28 UTC 2026","broken","Mon Jan 26 15:31:29 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","436","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 26 15:31:19 UTC 2026","broken","Mon Jan 26 15:31:19 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","207","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Jan 26 15:30:59 UTC 2026","broken","Mon Jan 26 15:30:59 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Deleting all tires from cart.","140","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Jan 26 15:30:52 UTC 2026","broken","Mon Jan 26 15:30:52 UTC 2026","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","198","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 26 15:31:12 UTC 2026","broken","Mon Jan 26 15:31:12 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","183","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Jan 26 15:31:24 UTC 2026","broken","Mon Jan 26 15:31:24 UTC 2026","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that a user can successfully log in to the application using valid credentials.","135","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Jan 26 15:30:50 UTC 2026","broken","Mon Jan 26 15:30:50 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","165","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Jan 26 15:32:31 UTC 2026","broken","Mon Jan 26 15:32:31 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new order with valid data and verifying the order is successful.","172","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Jan 26 15:32:14 UTC 2026","broken","Mon Jan 26 15:32:14 UTC 2026","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Verify that a user can successfully log in to the application using valid credentials.","147","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Jan 26 15:31:57 UTC 2026","broken","Mon Jan 26 15:31:57 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Negative login check","153","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 26 15:30:42 UTC 2026","broken","Mon Jan 26 15:30:43 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","137","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jan 26 15:30:49 UTC 2026","broken","Mon Jan 26 15:30:49 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
