"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creating a new account with valid data","2584","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Mar 24 15:22:26 GMT 2025","passed","Mon Mar 24 15:22:29 GMT 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Verify that a user can successfully log in to the application using valid credentials.","13243","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Mar 24 15:21:38 GMT 2025","passed","Mon Mar 24 15:21:51 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Negative login check","11792","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 24 15:21:08 GMT 2025","passed","Mon Mar 24 15:21:20 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","12186","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 24 15:20:53 GMT 2025","passed","Mon Mar 24 15:21:05 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","2877","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Mar 24 15:22:29 GMT 2025","passed","Mon Mar 24 15:22:32 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","15450","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Mar 24 15:23:45 GMT 2025","passed","Mon Mar 24 15:24:00 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Deleting all tires from cart.","13854","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Mar 24 15:21:54 GMT 2025","passed","Mon Mar 24 15:22:08 GMT 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","12334","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 24 15:21:37 GMT 2025","passed","Mon Mar 24 15:21:49 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","12174","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 24 15:21:09 GMT 2025","passed","Mon Mar 24 15:21:21 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","2741","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Mar 24 15:23:39 GMT 2025","passed","Mon Mar 24 15:23:42 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
