"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","118","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:22 UTC 2026","broken","Mon Mar 23 16:01:22 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","224","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:53 UTC 2026","broken","Mon Mar 23 16:01:53 UTC 2026","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","389","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Mar 23 16:01:50 UTC 2026","broken","Mon Mar 23 16:01:50 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","118","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:02:13 UTC 2026","broken","Mon Mar 23 16:02:13 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","159","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:27 UTC 2026","broken","Mon Mar 23 16:01:27 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","147","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Mar 23 16:01:58 UTC 2026","broken","Mon Mar 23 16:01:58 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new order with valid data and verifying the order is successful.","314","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:37 UTC 2026","broken","Mon Mar 23 16:01:37 UTC 2026","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Deleting all tires from cart.","130","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Mar 23 16:02:40 UTC 2026","broken","Mon Mar 23 16:02:40 UTC 2026","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new account with valid data","404","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Mar 23 16:01:55 UTC 2026","broken","Mon Mar 23 16:01:56 UTC 2026","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","199","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:52 UTC 2026","broken","Mon Mar 23 16:01:52 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","319","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Mar 23 16:01:31 UTC 2026","broken","Mon Mar 23 16:01:31 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","266","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Mar 23 16:02:00 UTC 2026","broken","Mon Mar 23 16:02:00 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","159","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:20 UTC 2026","broken","Mon Mar 23 16:01:20 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","113","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:02:22 UTC 2026","broken","Mon Mar 23 16:02:22 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","214","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:42 UTC 2026","broken","Mon Mar 23 16:01:43 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","145","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:02:05 UTC 2026","broken","Mon Mar 23 16:02:05 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","485","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:31 UTC 2026","broken","Mon Mar 23 16:01:31 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","379","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:35 UTC 2026","broken","Mon Mar 23 16:01:35 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","244","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Mar 23 16:01:50 UTC 2026","broken","Mon Mar 23 16:01:50 UTC 2026","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","169","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:18 UTC 2026","broken","Mon Mar 23 16:01:18 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","473","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:39 UTC 2026","broken","Mon Mar 23 16:01:39 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","208","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Mar 23 16:01:40 UTC 2026","broken","Mon Mar 23 16:01:41 UTC 2026","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","228","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:27 UTC 2026","broken","Mon Mar 23 16:01:28 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","120","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Mar 23 16:02:03 UTC 2026","broken","Mon Mar 23 16:02:03 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that the tires table is filled correctly and the tires list is opened.","133","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Mar 23 16:03:07 UTC 2026","broken","Mon Mar 23 16:03:07 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Deleting all tires from cart.","253","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Mar 23 16:01:34 UTC 2026","broken","Mon Mar 23 16:01:34 UTC 2026","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","146","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Mar 23 16:03:25 UTC 2026","broken","Mon Mar 23 16:03:26 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Creating a new order with valid data and verifying the order is successful.","171","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Mar 23 16:02:49 UTC 2026","broken","Mon Mar 23 16:02:49 UTC 2026","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Negative login check","300","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 23 16:01:33 UTC 2026","broken","Mon Mar 23 16:01:33 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","137","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Mar 23 16:03:16 UTC 2026","broken","Mon Mar 23 16:03:16 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
