"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11276","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon May 26 15:25:59 GMT 2025","broken","Mon May 26 15:26:10 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that a user can successfully log in to the application using valid credentials.","11331","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon May 26 15:22:34 GMT 2025","broken","Mon May 26 15:22:45 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Deleting all tires from cart.","11197","Deleting all tires from cart.","Tires CrossBrowserTest","Mon May 26 15:23:06 GMT 2025","broken","Mon May 26 15:23:17 GMT 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new account with valid data","11312","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon May 26 15:24:32 GMT 2025","broken","Mon May 26 15:24:44 GMT 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","13316","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 26 15:20:59 GMT 2025","passed","Mon May 26 15:21:13 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11279","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon May 26 15:25:50 GMT 2025","broken","Mon May 26 15:26:02 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","11805","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 26 15:21:41 GMT 2025","passed","Mon May 26 15:21:53 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","11233","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon May 26 15:23:39 GMT 2025","broken","Mon May 26 15:23:50 GMT 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Creating a new order with valid data and verifying the order is successful.","11372","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon May 26 15:23:03 GMT 2025","broken","Mon May 26 15:23:14 GMT 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Negative login check","13219","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 26 15:20:25 GMT 2025","passed","Mon May 26 15:20:38 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
