"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","231","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Oct 27 15:24:16 UTC 2025","broken","Mon Oct 27 15:24:17 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Deleting all tires from cart.","247","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Oct 27 15:23:35 UTC 2025","broken","Mon Oct 27 15:23:35 UTC 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","120","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Oct 27 15:23:01 UTC 2025","broken","Mon Oct 27 15:23:01 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","306","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:47 UTC 2025","broken","Mon Oct 27 15:22:48 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","196","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Oct 27 15:23:26 UTC 2025","broken","Mon Oct 27 15:23:26 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","154","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Oct 27 15:22:57 UTC 2025","broken","Mon Oct 27 15:22:57 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","246","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:23:18 UTC 2025","broken","Mon Oct 27 15:23:18 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","268","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:37 UTC 2025","broken","Mon Oct 27 15:22:37 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","210","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:51 UTC 2025","broken","Mon Oct 27 15:22:52 UTC 2025","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Verify that a user can successfully log in to the application using valid credentials.","251","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Oct 27 15:22:33 UTC 2025","broken","Mon Oct 27 15:22:34 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Negative login check","230","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:26 UTC 2025","broken","Mon Oct 27 15:22:26 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","312","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:39 UTC 2025","broken","Mon Oct 27 15:22:40 UTC 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","142","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Oct 27 15:22:59 UTC 2025","broken","Mon Oct 27 15:22:59 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","336","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:30 UTC 2025","broken","Mon Oct 27 15:22:31 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","337","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Oct 27 15:22:48 UTC 2025","broken","Mon Oct 27 15:22:48 UTC 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","379","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:19 UTC 2025","broken","Mon Oct 27 15:22:20 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","173","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Oct 27 15:24:08 UTC 2025","broken","Mon Oct 27 15:24:08 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","311","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Oct 27 15:22:52 UTC 2025","broken","Mon Oct 27 15:22:52 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that a user can successfully log in to the application using valid credentials.","163","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Oct 27 15:22:44 UTC 2025","broken","Mon Oct 27 15:22:44 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Creating a new account with valid data","279","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Oct 27 15:22:43 UTC 2025","broken","Mon Oct 27 15:22:43 UTC 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","297","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Oct 27 15:22:49 UTC 2025","broken","Mon Oct 27 15:22:49 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","344","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:27 UTC 2025","broken","Mon Oct 27 15:22:28 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","216","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:31 UTC 2025","broken","Mon Oct 27 15:22:31 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","178","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Oct 27 15:22:37 UTC 2025","broken","Mon Oct 27 15:22:37 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new account with valid data","240","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Oct 27 15:23:51 UTC 2025","broken","Mon Oct 27 15:23:51 UTC 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Verify that the tires table is filled correctly and the tires list is opened.","260","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Oct 27 15:23:59 UTC 2025","broken","Mon Oct 27 15:24:00 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new order with valid data and verifying the order is successful.","238","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Oct 27 15:23:43 UTC 2025","broken","Mon Oct 27 15:23:43 UTC 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Negative login check","521","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:30 UTC 2025","broken","Mon Oct 27 15:22:30 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","353","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:41 UTC 2025","broken","Mon Oct 27 15:22:41 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","236","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:33 UTC 2025","broken","Mon Oct 27 15:22:34 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","184","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:22 UTC 2025","broken","Mon Oct 27 15:22:22 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","266","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 27 15:22:24 UTC 2025","broken","Mon Oct 27 15:22:24 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","243","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Oct 27 15:22:46 UTC 2025","broken","Mon Oct 27 15:22:46 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new account with valid data","120","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Oct 27 15:22:54 UTC 2025","broken","Mon Oct 27 15:22:54 UTC 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
