"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the tires table is filled correctly and the tires list is opened.","11307","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Fri Feb 21 13:48:36 GMT 2025","broken","Fri Feb 21 13:48:47 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11167","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Fri Feb 21 13:48:28 GMT 2025","broken","Fri Feb 21 13:48:39 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Creating a new account with valid data","3084","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Fri Feb 21 13:48:05 GMT 2025","passed","Fri Feb 21 13:48:08 GMT 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","11608","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Fri Feb 21 13:44:56 GMT 2025","passed","Fri Feb 21 13:45:07 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","12313","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Fri Feb 21 13:44:40 GMT 2025","passed","Fri Feb 21 13:44:53 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","12672","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Fri Feb 21 13:45:23 GMT 2025","passed","Fri Feb 21 13:45:36 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","22594","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Fri Feb 21 13:49:26 GMT 2025","broken","Fri Feb 21 13:49:49 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","22605","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Fri Feb 21 13:50:16 GMT 2025","broken","Fri Feb 21 13:50:38 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Deleting all tires from cart.","22858","Deleting all tires from cart.","Tires CrossBrowserTest","Fri Feb 21 13:46:26 GMT 2025","broken","Fri Feb 21 13:46:49 GMT 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","11619","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Fri Feb 21 13:44:25 GMT 2025","passed","Fri Feb 21 13:44:36 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","12425","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Fri Feb 21 13:45:09 GMT 2025","passed","Fri Feb 21 13:45:21 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","12437","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Fri Feb 21 13:44:39 GMT 2025","passed","Fri Feb 21 13:44:52 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","13165","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Fri Feb 21 13:45:11 GMT 2025","passed","Fri Feb 21 13:45:24 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Creating a new account with valid data","3713","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Fri Feb 21 13:48:04 GMT 2025","passed","Fri Feb 21 13:48:08 GMT 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Creating a new order with valid data and verifying the order is successful.","23231","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Fri Feb 21 13:47:38 GMT 2025","broken","Fri Feb 21 13:48:01 GMT 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Negative login check","1922","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Fri Feb 21 13:44:37 GMT 2025","passed","Fri Feb 21 13:44:39 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11288","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Fri Feb 21 13:49:15 GMT 2025","broken","Fri Feb 21 13:49:26 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","1653","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Fri Feb 21 13:44:12 GMT 2025","passed","Fri Feb 21 13:44:14 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","12534","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Fri Feb 21 13:44:52 GMT 2025","passed","Fri Feb 21 13:45:05 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Negative login check","1445","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Fri Feb 21 13:44:20 GMT 2025","passed","Fri Feb 21 13:44:22 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","2708","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Fri Feb 21 13:47:25 GMT 2025","passed","Fri Feb 21 13:47:27 GMT 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","12078","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Fri Feb 21 13:44:27 GMT 2025","passed","Fri Feb 21 13:44:39 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","21713","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Fri Feb 21 13:43:55 GMT 2025","passed","Fri Feb 21 13:44:17 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
