"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","172","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Aug 18 15:24:57 UTC 2025","broken","Mon Aug 18 15:24:57 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","267","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 18 15:23:09 UTC 2025","broken","Mon Aug 18 15:23:09 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","147","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 18 15:23:52 UTC 2025","broken","Mon Aug 18 15:23:52 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","388","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Aug 18 15:23:29 UTC 2025","broken","Mon Aug 18 15:23:29 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Verify that a user can successfully log in to the application using valid credentials.","110","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Aug 18 15:24:09 UTC 2025","broken","Mon Aug 18 15:24:09 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","96","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Aug 18 15:23:44 UTC 2025","broken","Mon Aug 18 15:23:44 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Creating a new order with valid data and verifying the order is successful.","484","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Aug 18 15:23:22 UTC 2025","broken","Mon Aug 18 15:23:22 UTC 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Creating a new account with valid data","245","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Aug 18 15:23:25 UTC 2025","broken","Mon Aug 18 15:23:25 UTC 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","407","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 18 15:23:09 UTC 2025","broken","Mon Aug 18 15:23:09 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","191","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 18 15:23:06 UTC 2025","broken","Mon Aug 18 15:23:06 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","143","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Aug 18 15:23:47 UTC 2025","broken","Mon Aug 18 15:23:47 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","316","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Aug 18 15:23:36 UTC 2025","broken","Mon Aug 18 15:23:36 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","481","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 18 15:23:09 UTC 2025","broken","Mon Aug 18 15:23:09 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","174","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Aug 18 15:24:16 UTC 2025","broken","Mon Aug 18 15:24:17 UTC 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","201","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 18 15:24:00 UTC 2025","broken","Mon Aug 18 15:24:00 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","619","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Aug 18 15:23:33 UTC 2025","broken","Mon Aug 18 15:23:34 UTC 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new order with valid data and verifying the order is successful.","235","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Aug 18 15:23:37 UTC 2025","broken","Mon Aug 18 15:23:37 UTC 2025","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Negative login check","426","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Aug 18 15:23:13 UTC 2025","broken","Mon Aug 18 15:23:13 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","229","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Aug 18 15:23:18 UTC 2025","broken","Mon Aug 18 15:23:18 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
