"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Tests on Login","0","User Authentication","12","0","","0"
"0","Cart Management","0","Cart Operations","1","0","","0"
"0","Registration","0","Account Creation","1","0","","0"
"0","Tires Management","0","Tires Calculation","3","0","","0"
