"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a user can successfully log in to the application using valid credentials.","545","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Apr 13 16:14:23 UTC 2026","broken","Mon Apr 13 16:14:23 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","218","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Apr 13 16:14:41 UTC 2026","broken","Mon Apr 13 16:14:41 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","226","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:06 UTC 2026","broken","Mon Apr 13 16:14:06 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","444","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:10 UTC 2026","broken","Mon Apr 13 16:14:11 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","293","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Apr 13 16:14:34 UTC 2026","broken","Mon Apr 13 16:14:34 UTC 2026","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Deleting all tires from cart.","169","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Apr 13 16:15:34 UTC 2026","broken","Mon Apr 13 16:15:35 UTC 2026","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","318","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:36 UTC 2026","broken","Mon Apr 13 16:14:37 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","324","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:16 UTC 2026","broken","Mon Apr 13 16:14:16 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","389","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:21 UTC 2026","broken","Mon Apr 13 16:14:22 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","378","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Apr 13 16:14:48 UTC 2026","broken","Mon Apr 13 16:14:48 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Creating a new order with valid data and verifying the order is successful.","413","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:33 UTC 2026","broken","Mon Apr 13 16:14:33 UTC 2026","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","177","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Apr 13 16:16:25 UTC 2026","broken","Mon Apr 13 16:16:25 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","317","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:14 UTC 2026","broken","Mon Apr 13 16:14:14 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","145","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Apr 13 16:16:15 UTC 2026","broken","Mon Apr 13 16:16:15 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that the tires table is filled correctly and the tires list is opened.","148","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Apr 13 16:16:05 UTC 2026","broken","Mon Apr 13 16:16:05 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","297","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:19 UTC 2026","broken","Mon Apr 13 16:14:19 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","207","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Apr 13 16:14:45 UTC 2026","broken","Mon Apr 13 16:14:46 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","379","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:05 UTC 2026","broken","Mon Apr 13 16:14:05 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","212","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Apr 13 16:14:37 UTC 2026","broken","Mon Apr 13 16:14:38 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","153","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:15:14 UTC 2026","broken","Mon Apr 13 16:15:14 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","215","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Apr 13 16:15:55 UTC 2026","broken","Mon Apr 13 16:15:55 UTC 2026","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","273","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:16 UTC 2026","broken","Mon Apr 13 16:14:17 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","228","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Apr 13 16:14:37 UTC 2026","broken","Mon Apr 13 16:14:37 UTC 2026","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Creating a new order with valid data and verifying the order is successful.","152","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Apr 13 16:15:45 UTC 2026","broken","Mon Apr 13 16:15:45 UTC 2026","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Negative login check","239","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:18 UTC 2026","broken","Mon Apr 13 16:14:18 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","220","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Apr 13 16:14:25 UTC 2026","broken","Mon Apr 13 16:14:26 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Deleting all tires from cart.","229","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Apr 13 16:14:29 UTC 2026","broken","Mon Apr 13 16:14:29 UTC 2026","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new order with valid data and verifying the order is successful.","293","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:30 UTC 2026","broken","Mon Apr 13 16:14:31 UTC 2026","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Negative login check","209","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:14:12 UTC 2026","broken","Mon Apr 13 16:14:12 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","146","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Apr 13 16:15:24 UTC 2026","broken","Mon Apr 13 16:15:24 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Deleting all tires from cart.","372","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Apr 13 16:14:26 UTC 2026","broken","Mon Apr 13 16:14:27 UTC 2026","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","471","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Apr 13 16:14:41 UTC 2026","broken","Mon Apr 13 16:14:41 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","141","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 13 16:15:03 UTC 2026","broken","Mon Apr 13 16:15:03 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
