"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creating a new account with valid data","140","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Sep 22 15:22:58 UTC 2025","broken","Mon Sep 22 15:22:58 UTC 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Creating a new order with valid data and verifying the order is successful.","118","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Sep 22 15:22:49 UTC 2025","broken","Mon Sep 22 15:22:49 UTC 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Creating a new order with valid data and verifying the order is successful.","192","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Sep 22 15:21:27 UTC 2025","broken","Mon Sep 22 15:21:27 UTC 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Negative login check","140","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:22:13 UTC 2025","broken","Mon Sep 22 15:22:13 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","128","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Sep 22 15:22:40 UTC 2025","broken","Mon Sep 22 15:22:40 UTC 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that a user can successfully log in to the application using valid credentials.","202","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Sep 22 15:22:20 UTC 2025","broken","Mon Sep 22 15:22:20 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Negative login check","146","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:21:54 UTC 2025","broken","Mon Sep 22 15:21:54 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","182","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Sep 22 15:21:23 UTC 2025","broken","Mon Sep 22 15:21:24 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","127","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Sep 22 15:22:35 UTC 2025","broken","Mon Sep 22 15:22:35 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","217","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:21:15 UTC 2025","broken","Mon Sep 22 15:21:15 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","154","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Sep 22 15:22:27 UTC 2025","broken","Mon Sep 22 15:22:27 UTC 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","183","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Sep 22 15:23:24 UTC 2025","broken","Mon Sep 22 15:23:24 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","154","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:21:36 UTC 2025","broken","Mon Sep 22 15:21:36 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","252","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Sep 22 15:21:31 UTC 2025","broken","Mon Sep 22 15:21:31 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","221","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:22:08 UTC 2025","broken","Mon Sep 22 15:22:08 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","143","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Sep 22 15:21:25 UTC 2025","broken","Mon Sep 22 15:21:25 UTC 2025","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Creating a new account with valid data","162","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Sep 22 15:21:29 UTC 2025","broken","Mon Sep 22 15:21:29 UTC 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","178","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Sep 22 15:22:32 UTC 2025","broken","Mon Sep 22 15:22:33 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","153","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:21:19 UTC 2025","broken","Mon Sep 22 15:21:19 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","127","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:22:11 UTC 2025","broken","Mon Sep 22 15:22:11 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","220","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Sep 22 15:21:33 UTC 2025","broken","Mon Sep 22 15:21:33 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","236","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:21:17 UTC 2025","broken","Mon Sep 22 15:21:17 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","119","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Sep 22 15:23:15 UTC 2025","broken","Mon Sep 22 15:23:15 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","114","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:22:16 UTC 2025","broken","Mon Sep 22 15:22:16 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","132","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:21:45 UTC 2025","broken","Mon Sep 22 15:21:45 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","126","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Sep 22 15:22:22 UTC 2025","broken","Mon Sep 22 15:22:22 UTC 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","93","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:22:18 UTC 2025","broken","Mon Sep 22 15:22:18 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","236","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Sep 22 15:22:15 UTC 2025","broken","Mon Sep 22 15:22:15 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","121","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Sep 22 15:23:06 UTC 2025","broken","Mon Sep 22 15:23:06 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
