"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","11984","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 09 15:22:50 GMT 2025","passed","Mon Jun 09 15:23:02 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","11737","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Jun 09 15:24:23 GMT 2025","broken","Mon Jun 09 15:24:35 GMT 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Negative login check","12147","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 09 15:22:19 GMT 2025","passed","Mon Jun 09 15:22:31 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","12795","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 09 15:21:42 GMT 2025","passed","Mon Jun 09 15:21:55 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","11506","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Jun 09 15:25:37 GMT 2025","broken","Mon Jun 09 15:25:49 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","12357","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 09 15:22:33 GMT 2025","passed","Mon Jun 09 15:22:45 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","12155","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 09 15:21:48 GMT 2025","passed","Mon Jun 09 15:22:00 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","11518","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Jun 09 15:23:41 GMT 2025","broken","Mon Jun 09 15:23:52 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Negative login check","12283","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 09 15:22:47 GMT 2025","passed","Mon Jun 09 15:22:59 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","12265","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 09 15:21:55 GMT 2025","passed","Mon Jun 09 15:22:07 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","11614","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Jun 09 15:25:01 GMT 2025","broken","Mon Jun 09 15:25:12 GMT 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
