"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a user can successfully log in to the application using valid credentials.","213","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Oct 06 15:20:12 UTC 2025","broken","Mon Oct 06 15:20:13 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Negative login check","377","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 06 15:20:14 UTC 2025","broken","Mon Oct 06 15:20:14 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","145","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 06 15:20:07 UTC 2025","broken","Mon Oct 06 15:20:08 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","217","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Oct 06 15:20:36 UTC 2025","broken","Mon Oct 06 15:20:36 UTC 2025","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Creating a new order with valid data and verifying the order is successful.","209","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Oct 06 15:21:27 UTC 2025","broken","Mon Oct 06 15:21:27 UTC 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Verify that a user can successfully log in to the application using valid credentials.","223","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Oct 06 15:21:10 UTC 2025","broken","Mon Oct 06 15:21:10 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","302","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Oct 06 15:20:32 UTC 2025","broken","Mon Oct 06 15:20:32 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Verify that a user can successfully log in to the application using valid credentials.","179","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Oct 06 15:20:31 UTC 2025","broken","Mon Oct 06 15:20:31 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Negative login check","190","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 06 15:20:05 UTC 2025","broken","Mon Oct 06 15:20:06 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","286","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 06 15:20:12 UTC 2025","broken","Mon Oct 06 15:20:13 UTC 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","346","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Oct 06 15:20:19 UTC 2025","broken","Mon Oct 06 15:20:19 UTC 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","295","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Oct 06 15:21:52 UTC 2025","broken","Mon Oct 06 15:21:52 UTC 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","219","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 06 15:21:01 UTC 2025","broken","Mon Oct 06 15:21:01 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","469","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 06 15:20:30 UTC 2025","broken","Mon Oct 06 15:20:31 UTC 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","180","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Oct 06 15:20:44 UTC 2025","broken","Mon Oct 06 15:20:44 UTC 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","231","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Oct 06 15:20:28 UTC 2025","broken","Mon Oct 06 15:20:28 UTC 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Deleting all tires from cart.","145","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Oct 06 15:20:34 UTC 2025","broken","Mon Oct 06 15:20:34 UTC 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","169","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Oct 06 15:20:01 UTC 2025","broken","Mon Oct 06 15:20:01 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","193","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Oct 06 15:21:18 UTC 2025","broken","Mon Oct 06 15:21:19 UTC 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
