"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creating a new order with valid data and verifying the order is successful.","11561","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon May 12 15:25:28 GMT 2025","broken","Mon May 12 15:25:40 GMT 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Verify that a user can successfully log in to the application using valid credentials.","11504","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon May 12 15:24:16 GMT 2025","broken","Mon May 12 15:24:27 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Creating a new account with valid data","11476","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon May 12 15:26:58 GMT 2025","broken","Mon May 12 15:27:10 GMT 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11440","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon May 12 15:27:18 GMT 2025","broken","Mon May 12 15:27:29 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that the tires table is filled correctly and the tires list is opened.","11446","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon May 12 15:26:42 GMT 2025","broken","Mon May 12 15:26:53 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","12479","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:24:03 GMT 2025","passed","Mon May 12 15:24:15 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","12380","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:02 GMT 2025","passed","Mon May 12 15:23:14 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","11312","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon May 12 15:24:47 GMT 2025","broken","Mon May 12 15:24:58 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","11481","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon May 12 15:27:23 GMT 2025","broken","Mon May 12 15:27:35 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new account with valid data","11513","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon May 12 15:26:43 GMT 2025","broken","Mon May 12 15:26:55 GMT 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Creating a new order with valid data and verifying the order is successful.","11704","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon May 12 15:26:02 GMT 2025","broken","Mon May 12 15:26:14 GMT 2025","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11291","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon May 12 15:29:06 GMT 2025","broken","Mon May 12 15:29:17 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Creating a new order with valid data and verifying the order is successful.","12099","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon May 12 15:26:14 GMT 2025","broken","Mon May 12 15:26:26 GMT 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Negative login check","12318","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:22:50 GMT 2025","passed","Mon May 12 15:23:02 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","11972","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:32 GMT 2025","passed","Mon May 12 15:23:44 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","11447","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon May 12 15:24:43 GMT 2025","broken","Mon May 12 15:24:55 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11391","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon May 12 15:27:54 GMT 2025","broken","Mon May 12 15:28:05 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Deleting all tires from cart.","11498","Deleting all tires from cart.","Tires CrossBrowserTest","Mon May 12 15:25:30 GMT 2025","broken","Mon May 12 15:25:42 GMT 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Deleting all tires from cart.","11447","Deleting all tires from cart.","Tires CrossBrowserTest","Mon May 12 15:24:52 GMT 2025","broken","Mon May 12 15:25:03 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","11987","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:15 GMT 2025","passed","Mon May 12 15:23:27 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","11979","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:23 GMT 2025","passed","Mon May 12 15:23:35 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","11568","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:36 GMT 2025","passed","Mon May 12 15:23:48 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","11437","Deleting all tires from cart.","Tires CrossBrowserTest","Mon May 12 15:25:23 GMT 2025","broken","Mon May 12 15:25:34 GMT 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","12072","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:24:03 GMT 2025","passed","Mon May 12 15:24:15 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","11515","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:39 GMT 2025","passed","Mon May 12 15:23:51 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11404","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon May 12 15:28:42 GMT 2025","broken","Mon May 12 15:28:53 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","11776","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:03 GMT 2025","passed","Mon May 12 15:23:14 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","12190","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:09 GMT 2025","passed","Mon May 12 15:23:21 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","11432","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:27 GMT 2025","passed","Mon May 12 15:23:39 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11304","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon May 12 15:28:24 GMT 2025","broken","Mon May 12 15:28:35 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that the tires table is filled correctly and the tires list is opened.","11394","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon May 12 15:27:42 GMT 2025","broken","Mon May 12 15:27:53 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","12135","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:18 GMT 2025","passed","Mon May 12 15:23:30 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11444","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon May 12 15:28:03 GMT 2025","broken","Mon May 12 15:28:14 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","12362","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:47 GMT 2025","passed","Mon May 12 15:24:00 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Creating a new account with valid data","11478","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon May 12 15:26:05 GMT 2025","broken","Mon May 12 15:26:16 GMT 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","11933","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon May 12 15:23:49 GMT 2025","passed","Mon May 12 15:24:01 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
