"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative login check","11773","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:19:42 GMT 2025","passed","Mon Apr 21 15:19:53 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11007","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Apr 21 15:25:36 GMT 2025","broken","Mon Apr 21 15:25:47 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","11480","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:20:36 GMT 2025","passed","Mon Apr 21 15:20:48 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11124","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Apr 21 15:24:28 GMT 2025","broken","Mon Apr 21 15:24:39 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","11599","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:20:11 GMT 2025","passed","Mon Apr 21 15:20:23 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","11573","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:19:55 GMT 2025","passed","Mon Apr 21 15:20:07 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","11057","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Apr 21 15:20:47 GMT 2025","broken","Mon Apr 21 15:20:58 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Creating a new account with valid data","11141","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Apr 21 15:22:33 GMT 2025","broken","Mon Apr 21 15:22:44 GMT 2025","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
"Verify that the tires table is filled correctly and the tires list is opened.","11056","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Apr 21 15:23:08 GMT 2025","broken","Mon Apr 21 15:23:19 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new account with valid data","11217","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Apr 21 15:23:30 GMT 2025","broken","Mon Apr 21 15:23:41 GMT 2025","tests.RegistrationTest","FireFox","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","11874","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:20:23 GMT 2025","passed","Mon Apr 21 15:20:35 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","11675","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:19:39 GMT 2025","passed","Mon Apr 21 15:19:50 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","12145","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:20:22 GMT 2025","passed","Mon Apr 21 15:20:34 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","11129","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Apr 21 15:21:14 GMT 2025","broken","Mon Apr 21 15:21:26 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Creating a new account with valid data","11100","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Apr 21 15:23:12 GMT 2025","broken","Mon Apr 21 15:23:23 GMT 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11085","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Apr 21 15:23:43 GMT 2025","broken","Mon Apr 21 15:23:55 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","11946","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:20:08 GMT 2025","passed","Mon Apr 21 15:20:20 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11200","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Apr 21 15:24:54 GMT 2025","broken","Mon Apr 21 15:25:05 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","11536","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:19:59 GMT 2025","passed","Mon Apr 21 15:20:11 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","11527","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Apr 21 15:22:32 GMT 2025","broken","Mon Apr 21 15:22:44 GMT 2025","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11111","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Apr 21 15:25:07 GMT 2025","broken","Mon Apr 21 15:25:18 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Deleting all tires from cart.","11111","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Apr 21 15:21:53 GMT 2025","broken","Mon Apr 21 15:22:04 GMT 2025","tests.CartTest","Edge","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","11514","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:19:47 GMT 2025","passed","Mon Apr 21 15:19:59 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","11052","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Apr 21 15:24:18 GMT 2025","broken","Mon Apr 21 15:24:30 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Negative login check","11812","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:20:08 GMT 2025","passed","Mon Apr 21 15:20:20 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","11103","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Apr 21 15:23:50 GMT 2025","broken","Mon Apr 21 15:24:01 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
"Verify that a user can successfully log in to the application using valid credentials.","11158","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Apr 21 15:21:21 GMT 2025","broken","Mon Apr 21 15:21:32 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Creating a new order with valid data and verifying the order is successful.","11318","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Apr 21 15:22:47 GMT 2025","broken","Mon Apr 21 15:22:59 GMT 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Negative login check","11674","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:19:53 GMT 2025","passed","Mon Apr 21 15:20:05 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","11089","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Apr 21 15:22:03 GMT 2025","broken","Mon Apr 21 15:22:14 GMT 2025","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Deleting all tires from cart.","11075","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Apr 21 15:21:22 GMT 2025","broken","Mon Apr 21 15:21:33 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","11731","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:19:23 GMT 2025","passed","Mon Apr 21 15:19:35 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","11117","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Apr 21 15:21:57 GMT 2025","broken","Mon Apr 21 15:22:08 GMT 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Verify that the tires table is filled correctly and the tires list is opened.","10978","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Apr 21 15:24:12 GMT 2025","broken","Mon Apr 21 15:24:23 GMT 2025","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","11486","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:19:35 GMT 2025","passed","Mon Apr 21 15:19:47 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","11717","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Apr 21 15:20:38 GMT 2025","passed","Mon Apr 21 15:20:50 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
