"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creating a new order with valid data and verifying the order is successful.","11542","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Jun 02 15:25:25 GMT 2025","broken","Mon Jun 02 15:25:36 GMT 2025","tests.OrderTest","FireFox","tests.OrderTest","checkCreateOrder"
"Creating a new order with valid data and verifying the order is successful.","11300","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Jun 02 15:25:57 GMT 2025","broken","Mon Jun 02 15:26:08 GMT 2025","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Creating a new account with valid data","11149","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Jun 02 15:26:36 GMT 2025","broken","Mon Jun 02 15:26:47 GMT 2025","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Negative login check","11525","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 02 15:22:22 GMT 2025","passed","Mon Jun 02 15:22:33 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","11726","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 02 15:22:31 GMT 2025","passed","Mon Jun 02 15:22:43 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that a user can successfully log in to the application using valid credentials.","11190","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Jun 02 15:23:58 GMT 2025","broken","Mon Jun 02 15:24:09 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11102","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Jun 02 15:26:17 GMT 2025","broken","Mon Jun 02 15:26:29 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Negative login check","11777","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 02 15:22:16 GMT 2025","passed","Mon Jun 02 15:22:27 GMT 2025","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","11096","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Jun 02 15:27:53 GMT 2025","broken","Mon Jun 02 15:28:04 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that the tires table is filled correctly and the tires list is opened.","11073","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Jun 02 15:25:42 GMT 2025","broken","Mon Jun 02 15:25:53 GMT 2025","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Creating a new order with valid data and verifying the order is successful.","11188","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Jun 02 15:24:31 GMT 2025","broken","Mon Jun 02 15:24:43 GMT 2025","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Verify that a user can successfully log in to the application using valid credentials.","11082","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Jun 02 15:23:21 GMT 2025","broken","Mon Jun 02 15:23:32 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Negative login check","11645","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 02 15:23:47 GMT 2025","passed","Mon Jun 02 15:23:59 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Deleting all tires from cart.","11075","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Jun 02 15:23:56 GMT 2025","broken","Mon Jun 02 15:24:07 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkDeleteAllItemsFromCart"
"Negative login check","11501","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 02 15:22:34 GMT 2025","passed","Mon Jun 02 15:22:45 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","11668","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Jun 02 15:23:21 GMT 2025","passed","Mon Jun 02 15:23:33 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","11082","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Jun 02 15:27:15 GMT 2025","broken","Mon Jun 02 15:27:26 GMT 2025","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkFillingTiresTable"
