"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a user can successfully log in to the application using valid credentials.","180","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Mar 02 15:43:39 UTC 2026","broken","Mon Mar 02 15:43:39 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkValidLogin"
"Negative login check","216","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 02 15:42:28 UTC 2026","broken","Mon Mar 02 15:42:28 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Negative login check","211","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 02 15:42:35 UTC 2026","broken","Mon Mar 02 15:42:36 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Negative login check","165","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 02 15:43:13 UTC 2026","broken","Mon Mar 02 15:43:13 UTC 2026","tests.LoginTest","FireFox","tests.LoginTest","checkInvalidLogin"
"Negative login check","331","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 02 15:42:39 UTC 2026","broken","Mon Mar 02 15:42:39 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkInvalidLogin"
"Verify that an error message 'User  not authenticated' is displayed when a user tries to add a tire to the cart without being logged in.","308","Verify that an error message is displayed when trying to add a tire to the cart without logging in.","Tires CrossBrowserTest","Mon Mar 02 15:43:00 UTC 2026","broken","Mon Mar 02 15:43:00 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkAddToCartIfUserNotLogged"
"Verify that a user can successfully log in to the application using valid credentials.","335","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Mar 02 15:42:42 UTC 2026","broken","Mon Mar 02 15:42:43 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","checkValidLogin"
"Verify that the tires table is filled correctly and the tires list is opened.","297","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Mar 02 15:42:56 UTC 2026","broken","Mon Mar 02 15:42:57 UTC 2026","tests.TiresCalculateTest","Chrome","tests.TiresCalculateTest","checkFillingTiresTable"
"Verify that the tires table is filled correctly and the tires list is opened.","227","Verify that the tires table is filled correctly.","Tires CrossBrowserTest","Mon Mar 02 15:44:14 UTC 2026","broken","Mon Mar 02 15:44:14 UTC 2026","tests.TiresCalculateTest","FireFox","tests.TiresCalculateTest","checkFillingTiresTable"
"Negative login check","202","Check that user cannot log in with invalid data.","Tires CrossBrowserTest","Mon Mar 02 15:42:43 UTC 2026","broken","Mon Mar 02 15:42:43 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkInvalidLogin"
"Creating a new order with valid data and verifying the order is successful.","277","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Mar 02 15:43:01 UTC 2026","broken","Mon Mar 02 15:43:01 UTC 2026","tests.OrderTest","Edge","tests.OrderTest","checkCreateOrder"
"Creating a new account with valid data","367","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Mar 02 15:43:05 UTC 2026","broken","Mon Mar 02 15:43:05 UTC 2026","tests.RegistrationTest","Edge","tests.RegistrationTest","checkCreateNewAccount"
"Deleting all tires from cart.","161","Deleting all tires from cart.","Tires CrossBrowserTest","Mon Mar 02 15:43:48 UTC 2026","broken","Mon Mar 02 15:43:48 UTC 2026","tests.CartTest","FireFox","tests.CartTest","checkDeleteAllItemsFromCart"
"Verify that a user can successfully log in to the application using valid credentials.","348","Verify that a user can log in with valid credentials.","Tires CrossBrowserTest","Mon Mar 02 15:42:53 UTC 2026","broken","Mon Mar 02 15:42:54 UTC 2026","tests.LoginTest","Edge","tests.LoginTest","checkValidLogin"
"Verify that a success message is displayed when a logged-in user adds a tire to the cart.","202","Verify that a tire can be added to the cart when the user is logged in.","Tires CrossBrowserTest","Mon Mar 02 15:43:12 UTC 2026","broken","Mon Mar 02 15:43:12 UTC 2026","tests.TiresCalculateTest","Edge","tests.TiresCalculateTest","checkAddToCartIfUserLogged"
"Creating a new order with valid data and verifying the order is successful.","322","Verify that an order can be created with valid data.","Tires CrossBrowserTest","Mon Mar 02 15:42:49 UTC 2026","broken","Mon Mar 02 15:42:49 UTC 2026","tests.OrderTest","Chrome","tests.OrderTest","checkCreateOrder"
"Creating a new account with valid data","280","Verify that a new account can be created with valid data","Tires CrossBrowserTest","Mon Mar 02 15:42:53 UTC 2026","broken","Mon Mar 02 15:42:53 UTC 2026","tests.RegistrationTest","Chrome","tests.RegistrationTest","checkCreateNewAccount"
